@relation 'Final_Train_Data_Weka-weka.filters.unsupervised.attribute.NumericToNominal-R3-5,10'

@attribute NEIGHBORHOOD {ARROCHAR,'ARROCHAR-SHORE ACRES',CONCORD,'CONCORD-FOX HILLS','DONGAN HILLS','DONGAN HILLS-COLONY','DONGAN HILLS-OLD TOWN','GRANT CITY',GRASMERE,'GREAT KILLS','GREAT KILLS-BAY TERRACE','GRYMES HILL','MIDLAND BEACH','NEW DORP','NEW DORP-BEACH','NEW DORP-HEIGHTS',OAKWOOD,OAKWOOD-BEACH,RICHMONDTOWN,'RICHMONDTOWN-LIGHTHS HILL',ROSEBANK,'SOUTH BEACH',STAPLETON,STAPLETON-CLIFTON,TOMPKINSVILLE,'TODT HILL'}
@attribute 'BUILDING CLASS CATEGORY' {'01 ONE FAMILY DWELLINGS','02 TWO FAMILY DWELLINGS'}
@attribute BLOCK {512,515,516,521,524,527,529,530,532,541,560,561,562,563,565,568,579,586,614,618,622,626,631,638,643,647,648,835,839,848,849,855,856,858,869,885,895,899,939,942,944,945,948,949,950,951,2248,2260,2270,2271,2277,2279,2281,2284,2287,2288,2306,2829,2834,2836,2837,2839,2840,2844,2848,2853,2854,2855,2856,2857,2859,2861,2866,2867,2873,2876,2879,2882,2897,2899,2902,2908,2912,2915,2922,2925,2930,2966,2969,2970,2973,2975,2982,2983,2985,2989,2993,3003,3004,3019,3023,3024,3034,3036,3038,3065,3066,3070,3072,3073,3075,3099,3102,3103,3104,3105,3106,3110,3111,3116,3121,3122,3123,3124,3155,3159,3163,3165,3167,3169,3171,3176,3183,3184,3191,3209,3221,3226,3228,3234,3237,3246,3249,3250,3251,3252,3254,3255,3268,3269,3270,3271,3272,3276,3277,3282,3284,3285,3293,3294,3295,3296,3301,3306,3315,3316,3317,3320,3321,3325,3331,3332,3333,3337,3343,3345,3348,3354,3361,3362,3371,3373,3375,3378,3379,3390,3391,3394,3395,3398,3400,3401,3406,3420,3478,3481,3491,3500,3530,3531,3535,3539,3540,3552,3553,3558,3560,3563,3565,3570,3571,3572,3573,3575,3577,3579,3583,3586,3589,3591,3594,3595,3598,3599,3604,3606,3608,3609,3610,3613,3616,3617,3620,3626,3628,3629,3633,3634,3635,3640,3641,3643,3646,3650,3651,3652,3655,3659,3660,3661,3667,3669,3673,3674,3679,3681,3682,3684,3685,3686,3687,3689,3698,3703,3707,3708,3709,3711,3712,3716,3717,3718,3721,3722,3728,3729,3730,3733,3734,3735,3739,3740,3744,3746,3791,3797,3798,3800,3804,3805,3808,3809,3810,3814,3815,3817,3818,3819,3821,3873,3882,3885,3887,3888,3960,4000,4017,4018,4019,4027,4029,4030,4031,4033,4041,4043,4046,4047,4049,4050,4051,4052,4054,4057,4058,4063,4064,4066,4068,4069,4071,4073,4074,4078,4083,4085,4087,4088,4089,4091,4093,4130,4131,4194,4197,4198,4202,4212,4213,4219,4220,4221,4223,4226,4228,4229,4233,4237,4239,4240,4245,4247,4248,4250,4253,4254,4262,4265,4267,4271,4273,4278,4289,4290,4298,4299,4300,4302,4305,4306,4310,4311,4315,4316,4327,4328,4332,4342,4343,4344,4347,4349,4359,4363,4369,4378,4394,4399,4400,4405,4411,4416,4420,4421,4431,4435,4436,4447,4465,4466,4467,4468,4474,4476,4477,4478,4645,4656,4657,4659,4661,4669,4672,4673,4674,4675,4676,4678,4679,4680,4682,4683,4684,4696,4697,4698,4705,4706,4708,4710,4712,4713,4716,4717,4719,4720,4723,4726,4728,4961,4972,4973,4975,5016,5018,5019,5020,5022,5023,5024,5025,5026,5027,5028,5030,5090,5093,5101,5103}
@attribute LOT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79,81,82,84,86,87,88,89,90,92,93,94,96,97,99,100,104,106,107,108,110,112,115,116,117,120,121,123,126,128,132,133,136,140,141,142,143,144,145,150,152,156,157,158,163,165,168,170,172,173,177,183,188,189,195,199,202,212,217,226,233,235,255,257,260,266,267,274,277,278,302,315,338,364,368,373,382,403,405,407,410,412,415,417,430,432,434,436,445,451,473,476,478,488,566,601,615,618,620,652,737,769,828,908}
@attribute 'ZIP CODE' {10304,10305,10306}
@attribute 'RESIDENTIAL UNITS' numeric
@attribute 'COMMERCIAL UNITS' numeric
@attribute 'LAND SQUARE FEET' numeric
@attribute 'GROSS SQUARE FEET' numeric
@attribute 'YEAR BUILT' {1845,1899,1901,1905,1910,1915,1920,1925,1930,1931,1932,1935,1940,1945,1950,1955,1960,1963,1965,1966,1970,1972,1975,1976,1977,1978,1979,1980,1981,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020}
@attribute 'BUILDING CLASS AT TIME OF SALE' {A2,A5,A1,B2,B1,A0,S2,B3,A3,B9,A9,A6,S1}
@attribute 'SALE PRICE ' {'Over Budget','Within Budget'}
@attribute 'SALE DATE' {Autumn,Spring,Summer,Winter}

@data
ARROCHAR,'01 ONE FAMILY DWELLINGS',3099,24,10305,1,0,7500,1146,1960,A2,'Over Budget',Autumn
ARROCHAR,'01 ONE FAMILY DWELLINGS',3102,34,10305,1,0,1108,1176,1997,A5,'Within Budget',Autumn
ARROCHAR,'01 ONE FAMILY DWELLINGS',3102,97,10305,1,0,1116,1176,1997,A5,'Within Budget',Spring
ARROCHAR,'01 ONE FAMILY DWELLINGS',3104,15,10305,1,0,3960,2054,1950,A1,'Over Budget',Autumn
ARROCHAR,'01 ONE FAMILY DWELLINGS',3105,15,10305,1,0,4370,1368,1970,A1,'Over Budget',Spring
ARROCHAR,'01 ONE FAMILY DWELLINGS',3105,61,10305,1,0,2816,1224,1975,A5,'Within Budget',Autumn
ARROCHAR,'01 ONE FAMILY DWELLINGS',3106,90,10305,1,0,567,1125,1988,A5,'Within Budget',Summer
ARROCHAR,'02 TWO FAMILY DWELLINGS',3103,4,10305,2,0,4000,2150,2011,B2,'Within Budget',Spring
ARROCHAR,'02 TWO FAMILY DWELLINGS',3105,74,10305,2,0,5360,2016,1899,B1,'Within Budget',Winter
'ARROCHAR-SHORE ACRES','01 ONE FAMILY DWELLINGS',2834,123,10305,1,0,2000,1104,1970,A5,'Within Budget',Summer
'ARROCHAR-SHORE ACRES','01 ONE FAMILY DWELLINGS',3066,27,10305,1,0,7340,1608,1955,A0,'Within Budget',Spring
'ARROCHAR-SHORE ACRES','01 ONE FAMILY DWELLINGS',3066,260,10305,1,0,6840,1600,1935,A1,'Over Budget',Spring
'ARROCHAR-SHORE ACRES','02 TWO FAMILY DWELLINGS',2834,6,10305,2,1,2325,2625,1910,S2,'Within Budget',Summer
CONCORD,'01 ONE FAMILY DWELLINGS',560,145,10304,1,0,2300,1060,2004,A5,'Within Budget',Autumn
CONCORD,'01 ONE FAMILY DWELLINGS',568,37,10304,1,0,1045,1170,2002,A5,'Within Budget',Spring
CONCORD,'01 ONE FAMILY DWELLINGS',638,36,10304,1,0,2500,1131,1920,A1,'Within Budget',Autumn
CONCORD,'01 ONE FAMILY DWELLINGS',647,22,10304,1,0,3300,1352,1925,A1,'Within Budget',Summer
CONCORD,'01 ONE FAMILY DWELLINGS',647,29,10304,1,0,2500,1408,1910,A1,'Within Budget',Summer
CONCORD,'01 ONE FAMILY DWELLINGS',2882,69,10304,1,0,330,1045,1920,A1,'Within Budget',Autumn
CONCORD,'01 ONE FAMILY DWELLINGS',2897,72,10304,1,0,888,1248,1987,A5,'Within Budget',Winter
CONCORD,'01 ONE FAMILY DWELLINGS',2899,84,10304,1,0,1900,700,1995,A5,'Within Budget',Autumn
CONCORD,'01 ONE FAMILY DWELLINGS',2899,195,10304,1,0,555,1150,2004,A5,'Within Budget',Winter
CONCORD,'01 ONE FAMILY DWELLINGS',2899,199,10304,1,0,1180,1050,2004,A5,'Within Budget',Autumn
CONCORD,'01 ONE FAMILY DWELLINGS',2908,35,10304,1,0,5000,1008,1910,A1,'Within Budget',Winter
CONCORD,'01 ONE FAMILY DWELLINGS',2912,24,10304,1,0,2595,1268,2015,A1,'Within Budget',Autumn
CONCORD,'02 TWO FAMILY DWELLINGS',626,13,10304,2,0,2190,1792,1901,B2,'Within Budget',Winter
CONCORD,'02 TWO FAMILY DWELLINGS',643,15,10304,2,0,3959,2092,1920,B2,'Within Budget',Summer
CONCORD,'02 TWO FAMILY DWELLINGS',2879,46,10304,2,1,6540,2229,1925,S2,'Within Budget',Summer
CONCORD,'02 TWO FAMILY DWELLINGS',2879,94,10304,2,0,2010,1938,1987,B1,'Within Budget',Autumn
CONCORD,'02 TWO FAMILY DWELLINGS',2902,32,10304,2,0,3721,3132,1932,B3,'Within Budget',Autumn
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2876,12,10304,1,0,6750,672,1960,A2,'Within Budget',Autumn
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2876,25,10304,1,0,5940,1000,1960,A2,'Within Budget',Autumn
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2922,47,10304,1,0,2175,1288,2006,A5,'Within Budget',Spring
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2925,42,10304,1,0,1176,1404,1992,A5,'Within Budget',Summer
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2925,49,10304,1,0,1176,1404,1992,A5,'Within Budget',Autumn
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2925,141,10304,1,0,666,936,1992,A5,'Within Budget',Spring
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2925,226,10304,1,0,1059,1537,1993,A5,'Within Budget',Autumn
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2925,373,10304,1,0,1085,700,1995,A5,'Within Budget',Spring
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2930,9,10304,1,0,3780,1460,2001,A5,'Within Budget',Autumn
'CONCORD-FOX HILLS','01 ONE FAMILY DWELLINGS',2930,25,10304,1,0,2250,1460,2001,A5,'Within Budget',Summer
'DONGAN HILLS','01 ONE FAMILY DWELLINGS',3191,136,10304,1,0,4000,1008,1955,A2,'Over Budget',Autumn
